不要改	旧中文	旧翻译	新中文	新翻译
s.文字/邮件-txt-title-BaiZhanJunXianLevelKeep	[color=#f8efca,#e2b47e]军衔无变化[/color]		军衔无变化	
s.文字/邮件-txt-title-BaiZhanJunXianLevelMaxKeep	[color=#f8efca,#e2b47e]军衔已到顶[/color]		军衔已到顶	
s.文字/邮件-txt-title-BaiZhanJunXianLevelUp	[color=#f8efca,#e2b47e]军衔提升[/color]		军衔提升	
s.文字/邮件-txt-title-BuyDaillyBargainSuccess			购买每日特惠成功	
s.文字/邮件-txt-title-CopyDefenserBeenKilled	守城镜像被消灭		分身被消灭	
s.文字/邮件-txt-title-CopyDefenserExpired	守城镜像时间已到		分身失效	
s.文字/邮件-txt-title-CountryChangeNameFail			国号更改失败	
s.文字/邮件-txt-title-CountryChangeNameSucc			国号更改成功	
s.文字/邮件-txt-title-CountryDestroy			本国都城被占领	
s.文字/邮件-txt-title-CountryOfficialAppoint			您被任命为XXX	
s.文字/邮件-txt-title-CountryOfficialDepose			您的官职被解除	
s.文字/邮件-txt-title-FirstBeenRob			城池恢复	
s.文字/邮件-txt-title-FirstProtectRemoved			脱离新手期	
s.文字/邮件-txt-title-FirstTowerFail	勇闯重楼		勇闯千机楼	
s.文字/邮件-txt-title-GuildBeKickedOut			您被踢出联盟	
s.文字/邮件-txt-title-GuildBigBox	[color=#f8efca,#e2b47e]联盟大宝箱[/color]		联盟大宝箱	
s.文字/邮件-txt-title-GuildChangeCountry			联盟转国	
s.文字/邮件-txt-title-GuildClassLevelDown			联盟职位下降	
s.文字/邮件-txt-title-GuildClassLevelUp			联盟职位提升	
s.文字/邮件-txt-title-GuildConveneLeader			盟主召集	
s.文字/邮件-txt-title-GuildConveneOfficer			官员召集	
s.文字/邮件-txt-title-GuildEventPrize	[color=#f8efca,#e2b47e]联盟礼包[/color]		联盟礼包	
s.文字/邮件-txt-title-GuildFirstJoin	[color=#f8efca,#e2b47e]加入联盟[/color]		加入联盟	
s.文字/邮件-txt-title-GuildFirstJoinNpc			加入系统联盟	
s.文字/邮件-txt-title-GuildLeaderChanged			盟主变更	
s.文字/邮件-txt-title-GuildLeaderGenerated			盟主变更	
s.文字/邮件-txt-title-GuildMcWarApplyAtkFail			名城战申请挑战失败	
s.文字/邮件-txt-title-GuildMcWarApplyAtkSucc			名城战申请挑战成功	
s.文字/邮件-txt-title-GuildPaySalary			联盟发工资	
s.文字/邮件-txt-title-GuildReceiveYinliangFromGuild			联盟获得赠送银两	
s.文字/邮件-txt-title-GuildSendYinliangToMember			联盟赠送银两	
s.文字/邮件-txt-title-GuildTaskEvaluatePrize			联盟任务评价奖励	
s.文字/邮件-txt-title-HebiBeRobbedPrize	合璧被抢夺		合璧被干扰	
s.文字/邮件-txt-title-HebiCompletePrize			合璧完成	
s.文字/邮件-txt-title-HebiCopyBeRobbedPrize			合璧被干扰	
s.文字/邮件-txt-title-HebiCopyCompletePrize			合璧完成	
s.文字/邮件-txt-title-HebiRobPrize	合璧抢夺		合璧干扰	
s.文字/邮件-txt-title-HebiRoomBeenRobbed	合璧房间被抢位		合璧房间被占位	
s.文字/邮件-txt-title-McBuildGuildMemberPrize	营建成功		名城营建奖励	
s.文字/邮件-txt-title-ReportAdaFail	[color=#f8efca,#e2b47e]进攻失败[/color]		进攻失败	
s.文字/邮件-txt-title-ReportAdaSuccess	[color=#f8efca,#e2b47e]进攻胜利[/color]		进攻胜利	
s.文字/邮件-txt-title-ReportAddFail	[color=#f8efca,#e2b47e]防守失败[/color]		防守失败	
s.文字/邮件-txt-title-ReportAddSuccess	[color=#f8efca,#e2b47e]防守胜利[/color]		防守胜利	
s.文字/邮件-txt-title-ReportAsaFail	[color=#f8efca,#e2b47e]进攻失败[/color]		进攻失败	
s.文字/邮件-txt-title-ReportAsaSuccess	[color=#f8efca,#e2b47e]进攻胜利[/color]		进攻胜利	
s.文字/邮件-txt-title-ReportAsdFail	[color=#f8efca,#e2b47e]盟友援助失败[/color]		盟友援助失败	
s.文字/邮件-txt-title-ReportAsdSuccess	[color=#f8efca,#e2b47e]盟友援助胜利[/color]		盟友援助胜利	
s.文字/邮件-txt-title-ReportAssFail	[color=#f8efca,#e2b47e]援助失败[/color]		援助失败	
s.文字/邮件-txt-title-ReportAssSuccess	[color=#f8efca,#e2b47e]援助胜利[/color]		援助胜利	
s.文字/邮件-txt-title-ReportBaozRepatriateMoving			队伍被遣返	
s.文字/邮件-txt-title-ReportBaozRepatriateRobber			队伍被遣返	
s.文字/邮件-txt-title-ReportDoneAttacker	掠夺结束		破坏结束	
s.文字/邮件-txt-title-ReportDoneBaoz	掠夺结束		探索结束	
s.文字/邮件-txt-title-ReportDoneBaozBack			队伍{{num}}返回	
s.文字/邮件-txt-title-ReportDoneDefenser	遭受掠夺		遭受破坏	
s.文字/邮件-txt-title-ReportExpelAttackerFail	[color=#f8efca,#e2b47e]战斗失败[/color]		战斗失败	
s.文字/邮件-txt-title-ReportExpelAttackerSuccess	[color=#f8efca,#e2b47e]战斗胜利[/color]		战斗胜利	
s.文字/邮件-txt-title-ReportExpelDefenserFail	[color=#f8efca,#e2b47e]战斗失败[/color]		战斗失败	
s.文字/邮件-txt-title-ReportExpelDefenserSuccess	[color=#f8efca,#e2b47e]战斗胜利[/color]		战斗胜利	
s.文字/邮件-txt-title-ReportSaaFail	[color=#f8efca,#e2b47e]战斗失败[/color]		战斗失败	
s.文字/邮件-txt-title-ReportSaaSuccess	[color=#f8efca,#e2b47e]战斗胜利[/color]		战斗胜利	
s.文字/邮件-txt-title-ReportSadFail	[color=#f8efca,#e2b47e]盟友援助失败[/color]		盟友援助失败	
s.文字/邮件-txt-title-ReportSadSuccess	[color=#f8efca,#e2b47e]盟友援助胜利[/color]		盟友援助胜利	
s.文字/邮件-txt-title-ReportSasFail	[color=#f8efca,#e2b47e]援助失败[/color]		援助失败	
s.文字/邮件-txt-title-ReportSasSuccess	[color=#f8efca,#e2b47e]援助胜利[/color]		援助胜利	
s.文字/邮件-txt-title-ReportWatchAttacker	瞭望成功		侦查成功	
s.文字/邮件-txt-title-ReportWatchDefenser	被瞭望报告		被侦查报告	
s.文字/邮件-txt-title-SurveyMail	[color=#f8efca,#e2b47e]调研奖励[/color]		调研奖励	
s.文字/邮件-txt-title-SystemCompensation			系统补偿	
s.文字/邮件-txt-title-XiongNuResistSuc	[color=#f8efca,#e2b47e]攻破匈奴大营[/color]		攻破匈奴大营	
s.文字/邮件-txt-title-XiongNuScore	[color=#f8efca,#e2b47e]挑战匈奴成功[/color]		挑战匈奴成功	
s.百战千军/等级-txt-name-1			小卒	
s.百战千军/等级-txt-name-2			步兵	
s.百战千军/等级-txt-name-3			骑士	
s.百战千军/等级-txt-name-4			禁卫	
s.百战千军/等级-txt-name-5			先锋	
s.百战千军/等级-txt-name-6			将军	
s.百战千军/等级-txt-name-7			元帅	
s.百战千军/等级-txt-name-8			诸侯	
s.联盟/联盟日志-txt-text-AssemblyWin			集结发起者[color=#6baaf0]{{hero_name}}[/color]率众击败了[color=#ffbc6c]{{text}}[/color]，联盟获得了[color=#ffbc6c]{{amount}}[/color]声望	
s.联盟/联盟日志-txt-text-BaowuAddPrestige	[color=#6baaf0]{{hero_name}}[/color]开启了[color=#6baaf0]{{item}}[/color]，为联盟增加了[color=#6baaf0]{{amount}}[/color]声望。		[color=#77c7ff]{{hero_name}}[/color]开启了[color=#77c7ff]{{item}}[/color]，为联盟增加了[color=#77c7ff]{{amount}}[/color]声望。	
s.联盟/联盟日志-txt-text-CollectSalary	[color=#6baaf0]{{hero_name}}[/color]领取了[color=#ffbc6c]{{jun_xian}}[/color]俸禄，为联盟增加了[color=#ffbc6c]{{prestige}}[/color]声望，[color=#6baaf0]{{hufu}}[/color]个虎符。		[color=#77c7ff]{{hero_name}}[/color]领取了[color=#ffbc6c]{{jun_xian}}[/color]俸禄，为联盟增加了[color=#ffbc6c]{{prestige}}[/color]声望，[color=#77c7ff]{{hufu}}[/color]个虎符。	
s.联盟/联盟日志-txt-text-CreateGuild	[color=#6baaf0]{{hero_name}}[/color]创建了联盟		[color=#77c7ff]{{hero_name}}[/color]创建了联盟	
s.联盟/联盟日志-txt-text-FAttDestroy	[color=#6baaf0]{{attacker}}[/color]将[color=#ff304e]{{defenser}}[/color]的主城破坏流亡了		[color=#77c7ff]{{attacker}}[/color]将[color=#ff304e]{{defenser}}[/color]的主城破坏流亡了	
s.联盟/联盟日志-txt-text-FAttSucc	[color=#6baaf0]{{attacker}}[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗胜利		[color=#77c7ff]{{attacker}}[/color]进攻了[color=#ff304e]{{defenser}}[/color]的主城，战斗胜利	
s.联盟/联盟日志-txt-text-FDefDestroy	[color=#6baaf0]{{defenser}}[/color]的主城被[color=#ff304e]{{attacker}}[/color]破坏流亡了		[color=#77c7ff]{{defenser}}[/color]的主城被[color=#ff304e]{{attacker}}[/color]破坏流亡了	
s.联盟/联盟日志-txt-text-FDefFail	[color=#6baaf0]{{defenser}}[/color]的主城受到了[color=#ff304e]{{attacker}}[/color]的攻击，防守失败		[color=#77c7ff]{{defenser}}[/color]的主城受到了[color=#ff304e]{{attacker}}[/color]的攻击，防守失败	
s.联盟/联盟日志-txt-text-HufuAdd	[color=#6baaf0]{{hero_name}}[/color]捐献了[color=#6baaf0]{{amount}}[/color]个虎符。		[color=#77c7ff]{{hero_name}}[/color]捐献了[color=#77c7ff]{{amount}}[/color]个虎符。	
s.联盟/联盟日志-txt-text-InvaseMonster	[color=#6baaf0]{{hero_name}}[/color]讨伐了[color=#ffbc6c]{{level}}[/color]级野外势力，为联盟增加了[color=#ffbc6c]{{prestige}}[/color]声望		[color=#77c7ff]{{hero_name}}[/color]讨伐了[color=#ffbc6c]{{level}}[/color]级野外势力，为联盟增加了[color=#ffbc6c]{{prestige}}[/color]声望	
s.联盟/联盟日志-txt-text-JoinGuild	[color=#6baaf0]{{hero_name}}[/color]加入了联盟		[color=#77c7ff]{{hero_name}}[/color]加入了联盟	
s.联盟/联盟日志-txt-text-KickLeaveGuild	[color=#6baaf0]{{hero_name}}[/color]被[color=#6baaf0]{{leader_name}}[/color]踢出了联盟		[color=#77c7ff]{{hero_name}}[/color]被[color=#77c7ff]{{leader_name}}[/color]踢出了联盟	
s.联盟/联盟日志-txt-text-LeaveGuild	[color=#6baaf0]{{hero_name}}[/color]离开了联盟		[color=#77c7ff]{{hero_name}}[/color]离开了联盟	
s.联盟/联盟日志-txt-text-McWarApplyAtkFail	联盟申请挑战{{mingc}}名城失败，申请消耗的{{amount}}联盟虎符已返还。		联盟申请挑战[color=#ffbc6c]{{mingc}}[/color]失败，申请消耗的[color=#ffbc6c]{{amount}}[/color]联盟虎符已返还。	
s.联盟/联盟日志-txt-text-McWarApplyAtkSucc	您的联盟成为{{mingc}}城 的进攻方。您可以联系其它联盟参与协助。		您的联盟成为[color=#ffbc6c]{{mingc}}[/color]的进攻方，您可以联系其它联盟参与协助。	
s.联盟/联盟日志-txt-text-McWarAtkWin	恭喜联盟成功夺下{{country}}国[color=#E7566B]{{guild}}[/color]盟占领的{{mingc}}城！		恭喜联盟成功夺下{{country}}国[color=#ff304e]{{guild}}[/color]盟占领的[color=#ffbc6c]{{mingc}}城[/color]！	
s.联盟/联盟日志-txt-text-McWarDefWin	恭喜联盟在{{mingc}}争夺战成功防守 {{country}}国[color=#E7566B]{{guild}}[/color]盟的进攻！		恭喜联盟在[color=#ffbc6c]{{mingc}}[/color]争夺战成功防守{{country}}国[color=#ff304e]{{guild}}[/color]盟的进攻！	
s.联盟/联盟日志-txt-text-NewLeaderDemise	[color=#6baaf0]{{hero_name}}[/color]将盟主之位禅让给了[color=#6baaf0]{{leader}}[/color]		[color=#77c7ff]{{hero_name}}[/color]将盟主之位禅让给了[color=#77c7ff]{{leader}}[/color]	
s.联盟/联盟日志-txt-text-NewLeaderImpeach	[color=#6baaf0]{{hero_name}}[/color]通过竞选成为了[color=#ffbc6c]盟主[/color]		[color=#77c7ff]{{hero_name}}[/color]通过竞选成为了[color=#ffbc6c]盟主[/color]	
s.联盟/联盟日志-txt-text-PrestigePrize	恭喜联盟声望达到[color=#ffbc6c]{{prestige}}[/color]，国君奖励联盟[color=#ffbc6c]{{building_amount}}[/color]建设值，并赐予每位成员礼包可前往联盟礼包界面领取		恭喜联盟声望达到[color=#ffbc6c]{{prestige}}[/color]，国君奖励联盟[color=#ffbc6c]{{building_amount}}[/color]建设值与[color=#ffbc6c]{{amount}}[/color]虎符，并赐予每位成员礼包可前往联盟礼包界面领取	
s.联盟/联盟日志-txt-text-ReplyJoinGuild	[color=#6baaf0]{{hero_name}}[/color]通过[color=#6baaf0]{{leader_name}}[/color]的批准加入了联盟		[color=#77c7ff]{{hero_name}}[/color]通过[color=#77c7ff]{{leader_name}}[/color]的批准加入了联盟	
s.联盟/联盟日志-txt-text-ResistXiongNuAddPrestige	恭喜联盟众志成城，完成抗击匈奴[color=#f32e00]{{resist_xiong_nu_name}}[/color]，获得[color=#f32e00]{{score_name}}[/color]活动评价，获得[color=#f32e00]{{prestige}}[/color]联盟声望		恭喜联盟众志成城，完成抗击匈奴[color=#ffbc6c]{{resist_xiong_nu_name}}[/color]，获得[color=#ffbc6c]{{score_name}}[/color]活动评价，获得[color=#ffbc6c]{{prestige}}[/color]联盟声望	
s.联盟/联盟日志-txt-text-StartImpeach	[color=#6baaf0]{{hero_name}}[/color]对当前盟主发起了[color=#ff304e]弹劾[/color]		[color=#77c7ff]{{hero_name}}[/color]对当前盟主发起了[color=#ff304e]弹劾[/color]	
s.联盟/联盟日志-txt-text-StartXiongNu	[color=#6baaf0]{{hero_name}}[/color]开启了[color=#ffbc6c]抗击匈奴[/color]活动		[color=#77c7ff]{{hero_name}}[/color]开启了[color=#ffbc6c]抗击匈奴[/color]活动	
s.联盟/联盟日志-txt-text-TerminateImpeach	盟主[color=#6baaf0]{{hero_name}}[/color]在弹劾期上线了，弹劾强制失败		盟主[color=#77c7ff]{{hero_name}}[/color]在弹劾期上线了，弹劾强制失败	
s.联盟/联盟日志-txt-text-UnlockXiongNu	恭喜联盟众志成城，完美抗击匈奴{{resist_xiong_nu_name}}，解锁新难度{{unlock_xiong_nu_name}}		恭喜联盟众志成城，完美抗击匈奴[color=#ffbc6c]{{resist_xiong_nu_name}}[/color]，解锁新难度[color=#ffbc6c]{{unlock_xiong_nu_name}}[/color]	
s.联盟/联盟日志-txt-text-UpdateCountry	盟主[color=#6baaf0]{{hero_name}}[/color]将联盟归属国家从[color=#ffbc6c]{{country}}[/color]修改为[color=#ffbc6c]{{country_name}}[/color]。		盟主[color=#77c7ff]{{hero_name}}[/color]将联盟归属国家从[color=#ffbc6c]{{country}}[/color]修改为[color=#ffbc6c]{{country_name}}[/color]。	
s.联盟/联盟日志-txt-text-UpdateFlagName	盟主[color=#6baaf0]{{hero_name}}[/color]将联盟旗号修改为[color=#ffbc6c]{{flag_name}}[/color]		盟主[color=#77c7ff]{{hero_name}}[/color]将联盟旗号修改为[color=#ffbc6c]{{flag_name}}[/color]	
s.联盟/联盟日志-txt-text-UpdateInternalText	[color=#6baaf0]{{hero_name}}[/color]修改了联盟公告		[color=#77c7ff]{{hero_name}}[/color]修改了联盟公告	
s.联盟/联盟日志-txt-text-UpdateMark	[color=#6baaf0]{{hero_name}}[/color]标记了坐标[color=#6baaf0]({{pos}},{{pos}})[/color]，标记内容:"[color=#ffffff]{{text}}[/color]"。		[color=#6baaf0]{{hero_name}}[/color]标记了坐标[color=#6baaf0]({{pos_x}},{{pos_y}})[/color]，标记内容:"[color=#ffffff]{{text}}[/color]"。	
s.联盟/联盟日志-txt-text-UpdateMemberClass	[color=#6baaf0]{{hero_name}}[/color]成为了[color=#ffbc6c]{{class_name}}[/color]		[color=#77c7ff]{{hero_name}}[/color]成为了[color=#ffbc6c]{{class_name}}[/color]	
s.联盟/联盟日志-txt-text-UpdateName	盟主[color=#6baaf0]{{hero_name}}[/color]将联盟名修改为[color=#ffbc6c]{{guild_name}}[/color]		盟主[color=#77c7ff]{{hero_name}}[/color]将联盟名修改为[color=#ffbc6c]{{guild_name}}[/color]	
s.联盟/联盟日志-txt-text-UpgradeLevel	联盟等级提升到了[color=#f32e00]{{level}}[/color]级		联盟等级提升到了[color=#ffbc6c]{{level}}[/color]级	
s.联盟/联盟日志-txt-text-UpgradeTechnology	众志成城！联盟科技[color=#f32e00]{{tech_name}}[/color]提升到了[color=#f32e00]{{level}}级[/color]		众志成城！联盟科技[color=#ffbc6c]{{tech_name}}[/color]提升到了[color=#ffbc6c]{{level}}级[/color]	
s.联盟/联盟日志-txt-text-WipeOutXiongNuTroop	[color=#6baaf0]{{hero_name}}[/color]击败了1支匈奴入侵队伍，匈奴大营守军士气[color=#ffbc6c]-{{reduce_morale}}[/color]		[color=#77c7ff]{{hero_name}}[/color]击败了1支匈奴入侵队伍，匈奴大营守军士气[color=#ffbc6c]-{{reduce_morale}}[/color]	
s.联盟/联盟日志-txt-text-XiongNuBaseDestroy	[color=#6baaf0]{{hero_name}}[/color]击破了[color=#ffbc6c]匈奴大营[/color]，本次抗击匈奴活动结束		[color=#77c7ff]{{hero_name}}[/color]击破了[color=#ffbc6c]匈奴大营[/color]，本次抗击匈奴活动结束	
s.联盟/联盟日志-txt-text-YinliangGuildPaySalary	盟主花费{{yinliang}}联盟银两为所有成员发放了工资		盟主花费[color=#ffbc6c]{{yinliang}}[/color]联盟银两为所有成员发放了工资	
s.联盟/联盟日志-txt-text-YinliangGuildReceive	联盟[color=#6baaf0]{{sender}}[/color]赠送了[color=#ffbc6c]{{yinliang}}[/color]银两给本联盟		联盟[color=#77c7ff]{{sender}}[/color]赠送了[color=#ffbc6c]{{yinliang}}[/color]银两给本联盟	
s.联盟/联盟日志-txt-text-YinliangGuildSend	盟主赠送了[color=#ffbc6c]{{yinliang}}[/color]银两给联盟[color=#6baaf0]{{target}}[/color]		盟主赠送了[color=#ffbc6c]{{yinliang}}[/color]银两给联盟[color=#77c7ff]{{target}}[/color]	
s.联盟/联盟日志-txt-text-YinliangGuildSendMember	盟主发放了[color=#ffbc6c]{{yinliang}}[/color]银两给[color=#6baaf0]{{target}}[/color]		盟主发放了[color=#ffbc6c]{{yinliang}}[/color]银两给[color=#77c7ff]{{target}}[/color]	
s.联盟/联盟日志-txt-text-YinliangMcWarAtkFail	联盟进攻{{mingc}}城遗憾落败，对敌方据点摧毁度{{destroy}}%，获得{{yinliang}}银两		联盟进攻[color=#ffbc6c]{{mingc}}[/color]遗憾落败，对敌方据点摧毁度{{destroy}}%，获得[color=#ffbc6c]{{yinliang}}[/color]银两	
s.联盟/联盟日志-txt-text-YinliangMcWarAtkWin	联盟进攻{{mingc}}城大获全胜，获得{{yinliang}}银两		联盟进攻[color=#ffbc6c]{{mingc}}[/color]大获全胜，获得[color=#ffbc6c]{{yinliang}}[/color]银两	
s.联盟/联盟日志-txt-text-YinliangMingcHost	联盟获得{{mingc}}城每日占领收益，获得{{yinliang}}银两		联盟获得[color=#ffbc6c]{{mingc}}[/color]每日占领收益，获得[color=#ffbc6c]{{yinliang}}[/color]银两	
s.联盟/联盟权限-txt-name-1			邀请入盟	
s.联盟/联盟权限-txt-name-10	设置官员		设置职位	
s.联盟/联盟权限-txt-name-11			修改职称	
s.联盟/联盟权限-txt-name-12			允许踢人	
s.联盟/联盟权限-txt-name-13			修改入盟条件	
s.联盟/联盟权限-txt-name-14			弹劾npc盟主	
s.联盟/联盟权限-txt-name-15			联盟升级	
s.联盟/联盟权限-txt-name-16			联盟升级加速	
s.联盟/联盟权限-txt-name-17			升级联盟建筑	
s.联盟/联盟权限-txt-name-18			升级联盟科技	
s.联盟/联盟权限-txt-name-19			声望目标	
s.联盟/联盟权限-txt-name-2			同意入盟	
s.联盟/联盟权限-txt-name-20			开启抗击匈奴	
s.联盟/联盟权限-txt-name-21			发全体消息	
s.联盟/联盟权限-txt-name-22			科技加速	
s.联盟/联盟权限-txt-name-23			修改联盟名称	
s.联盟/联盟权限-txt-name-24			修改联盟简称	
s.联盟/联盟权限-txt-name-25			退出联盟	
s.联盟/联盟权限-txt-name-26			解散联盟	
s.联盟/联盟权限-txt-name-27			禅让盟主	
s.联盟/联盟权限-txt-name-28			联盟标记	
s.联盟/联盟权限-txt-name-29			使用银两	
s.联盟/联盟权限-txt-name-3			修改宣言	
s.联盟/联盟权限-txt-name-30			成员召集	
s.联盟/联盟权限-txt-name-31			查看在线情况	
s.联盟/联盟权限-txt-name-32			联盟工坊	
s.联盟/联盟权限-txt-name-33			推荐营建名城	
s.联盟/联盟权限-txt-name-4	修改内部宣言		修改联盟公告	
s.联盟/联盟权限-txt-name-5			修改联盟标签	
s.联盟/联盟权限-txt-name-6			修改友盟	
s.联盟/联盟权限-txt-name-7			修改敌盟	
s.联盟/联盟权限-txt-name-8			修改阶级名称	
s.联盟/联盟权限-txt-name-9			修改联盟旗帜	
s.花园/摇钱树-txt-desc-1			施肥	
s.花园/摇钱树-txt-desc-2			浇水	
s.花园/摇钱树-txt-desc-3			除草	
s.花园/摇钱树-txt-desc-4			扫雪	
