id	名称	仓库金币容量	粮食	木材	石料	仓库保护容量		产出资源类型	资源产出量，每小时	资源点存储上限		军营士兵容量	军营士兵产量，每小时	军营强征士兵数	新兵产量，每小时	新兵最大容量	伤兵容量	增加招募的士兵数量		远程兵种加的属性	近战兵种加的属性		兵种	兵种	兵种	兵种属性	士兵负载	给所有兵种加的属性		修炼馆产出基数，每小时	修炼馆容量基数	修炼馆每小时产出经验	修炼馆加成系数		减少建筑cd，填0.1表示减少10%的cd	减少科技cd，填0.1表示减少10%的cd	建筑队疲劳时间	科技队疲劳时间		行营繁荣度上限	行营抢修值上限		主城城墙固定伤害	主城城墙属性	行营城墙固定伤害	行营城墙属性		求助减少CD	求助最大被帮助次数	联盟捐献次数		农场产出资源类型	农场产出加成，千分比		官府税收，金币	粮食	木材	石料		驻守附加属性	协防附加属性	镜像驻守附加属性		建筑消耗减少	科技消耗减少		建筑	科技	修炼	农铜	农石	税铜	税石	
10001023	冶炼术23							gold	230%	230%																																										gold	2300%																					
10001024	冶炼术24							gold	240%	240%																																										gold	2400%																					
10001025	冶炼术25							gold	250%	250%																																										gold	2500%																					
																																																																										
10002001	挖掘术1							stone	10%	10%																																										stone	100%																					
10002002	挖掘术2							stone	20%	20%																																										stone	200%																					
10002003	挖掘术3							stone	30%	30%																																										stone	300%																					
10002004	挖掘术4							stone	40%	40%																																										stone	400%																					
10002005	挖掘术5							stone	50%	50%																																										stone	500%																					
10002006	挖掘术6							stone	60%	60%																																										stone	600%																					
10002007	挖掘术7							stone	70%	70%																																										stone	700%																					
10002008	挖掘术8							stone	80%	80%																																										stone	800%																					
10002009	挖掘术9							stone	90%	90%																																										stone	900%																					
10002010	挖掘术10							stone	100%	100%																																										stone	1000%																					
10002011	挖掘术11							stone	110%	110%																																										stone	1100%																					
10002012	挖掘术12							stone	120%	120%																																										stone	1200%																					
10002013	挖掘术13							stone	130%	130%																																										stone	1300%																					
10002014	挖掘术14							stone	140%	140%																																										stone	1400%																					
10002015	挖掘术15							stone	150%	150%																																										stone	1500%																					
10002016	挖掘术16							stone	160%	160%																																										stone	1600%																					
10002017	挖掘术17							stone	170%	170%																																										stone	1700%																					
10002018	挖掘术18							stone	180%	180%																																										stone	1800%																					
10002019	挖掘术19							stone	190%	190%																																										stone	1900%																					
10002020	挖掘术20							stone	200%	200%																																										stone	2000%																					
10002021	挖掘术21							stone	210%	210%																																										stone	2100%																					
10002022	挖掘术22							stone	220%	220%																																										stone	2200%																					
10002023	挖掘术23							stone	230%	230%																																										stone	2300%																					
10002024	挖掘术24							stone	240%	240%																																										stone	2400%																					
10002025	挖掘术25							stone	250%	250%																																										stone	2500%																					
																																																																										
10003001	统御术1																											10003001																																														
10003002	统御术2																											10003002																																														
10003003	统御术3																											10003003																																														
10003004	统御术4																											10003004																																														
10003005	统御术5																											10003005																																														
10003006	统御术6																											10003006																																														
10003007	统御术7																											10003007																																														
10003008	统御术8																											10003008																																														
10003009	统御术9																											10003009																																														
10003010	统御术10																											10003010																																														
10003011	统御术11																											10003011																																														
10003012	统御术12																											10003012																																														
10003013	统御术13																											10003013																																														
10003014	统御术14																											10003014																																														
10003015	统御术15																											10003015																																														
10003016	统御术16																											10003016																																														
10003017	统御术17																											10003017																																														
10003018	统御术18																											10003018																																														
10003019	统御术19																											10003019																																														
10003020	统御术20																											10003020																																														
10003021	统御术21																											10003021																																														
10003022	统御术22																											10003022																																														
10003023	统御术23																											10003023																																														
10003024	统御术24																											10003024																																														
10003025	统御术25																											10003025																																														
																																																																										
10004001	城防术1																																											10004001																														
10004002	城防术2																																											10004002																														
10004003	城防术3																																											10004003																														
10004004	城防术4																																											10004004																														
10004005	城防术5																																											10004005																														
10004006	城防术6																																											10004006																														
10004007	城防术7																																											10004007																														
10004008	城防术8																																											10004008																														
10004009	城防术9																																											10004009																														
10004010	城防术10																																											10004010																														
10004011	城防术11																																											10004011																														
10004012	城防术12																																											10004012																														
10004013	城防术13																																											10004013																														
10004014	城防术14																																											10004014																														
10004015	城防术15																																											10004015																														
10004016	城防术16																																											10004016																														
10004017	城防术17																																											10004017																														
10004018	城防术18																																											10004018																														
10004019	城防术19																																											10004019																														
10004020	城防术20																																											10004020																														
10004021	城防术21																																											10004021																														
10004022	城防术22																																											10004022																														
10004023	城防术23																																											10004023																														
10004024	城防术24																																											10004024																														
10004025	城防术25																																											10004025																														
																																																																										
10005001	建筑术1																																		0.3																																							
10005002	建筑术2																																		0.6																																							
10005003	建筑术3																																		0.9																																							
10005004	建筑术4																																		1.2																																							
10005005	建筑术5																																		1.5																																							
10005006	建筑术6																																		1.8																																							
10005007	建筑术7																																		2.1																																							
10005008	建筑术8																																		2.4																																							
10005009	建筑术9																																		2.7																																							
10005010	建筑术10																																		3																																							
																																																																										
10011001	步兵攻击1																						BU	qi	che	10011001																																																
10011002	步兵攻击2																						BU	qi	che	10011002																																																
10011003	步兵攻击3																						BU	qi	che	10011003																																																
10011004	步兵攻击4																						BU	qi	che	10011004																																																
10011005	步兵攻击5																						BU	qi	che	10011005																																																
10011006	步兵攻击6																						BU	qi	che	10011006																																																
10011007	步兵攻击7																						BU	qi	che	10011007																																																
10011008	步兵攻击8																						BU	qi	che	10011008																																																
10011009	步兵攻击9																						BU	qi	che	10011009																																																
10011010	步兵攻击10																						BU	qi	che	10011010																																																
10011011	步兵攻击11																						BU	qi	che	10011011																																																
10011012	步兵攻击12																						BU	qi	che	10011012																																																
10011013	步兵攻击13																						BU	qi	che	10011013																																																
10011014	步兵攻击14																						BU	qi	che	10011014																																																
10011015	步兵攻击15																						BU	qi	che	10011015																																																
10011016	步兵攻击16																						BU	qi	che	10011016																																																
10011017	步兵攻击17																						BU	qi	che	10011017																																																
10011018	步兵攻击18																						BU	qi	che	10011018																																																
10011019	步兵攻击19																						BU	qi	che	10011019																																																
10011020	步兵攻击20																						BU	qi	che	10011020																																																
10011021	步兵攻击21																						BU	qi	che	10011021																																																
10011022	步兵攻击22																						BU	qi	che	10011022																																																
10011023	步兵攻击23																						BU	qi	che	10011023																																																
10011024	步兵攻击24																						BU	qi	che	10011024																																																
10011025	步兵攻击25																						BU	qi	che	10011025																																																
																																																																										
10012001	步兵防御1																						BU	qi	che	10012001																																																
10012002	步兵防御2																						BU	qi	che	10012002																																																
10012003	步兵防御3																						BU	qi	che	10012003																																																
10012004	步兵防御4																						BU	qi	che	10012004																																																
10012005	步兵防御5																						BU	qi	che	10012005																																																
10012006	步兵防御6																						BU	qi	che	10012006																																																
10012007	步兵防御7																						BU	qi	che	10012007																																																
10012008	步兵防御8																						BU	qi	che	10012008																																																
10012009	步兵防御9																						BU	qi	che	10012009																																																
10012010	步兵防御10																						BU	qi	che	10012010																																																
10012011	步兵防御11																						BU	qi	che	10012011																																																
10012012	步兵防御12																						BU	qi	che	10012012																																																
10012013	步兵防御13																						BU	qi	che	10012013																																																
10012014	步兵防御14																						BU	qi	che	10012014																																																
10012015	步兵防御15																						BU	qi	che	10012015																																																
10012016	步兵防御16																						BU	qi	che	10012016																																																
10012017	步兵防御17																						BU	qi	che	10012017																																																
10012018	步兵防御18																						BU	qi	che	10012018																																																
10012019	步兵防御19																						BU	qi	che	10012019																																																
10012020	步兵防御20																						BU	qi	che	10012020																																																
10012021	步兵防御21																						BU	qi	che	10012021																																																
10012022	步兵防御22																						BU	qi	che	10012022																																																
10012023	步兵防御23																						BU	qi	che	10012023																																																
10012024	步兵防御24																						BU	qi	che	10012024																																																
10012025	步兵防御25																						BU	qi	che	10012025																																																
																																																																										
10013001	步兵体力1																						BU	qi	che	10013001																																																
10013002	步兵体力2																						BU	qi	che	10013002																																																
10013003	步兵体力3																						BU	qi	che	10013003																																																
10013004	步兵体力4																						BU	qi	che	10013004																																																
10013005	步兵体力5																						BU	qi	che	10013005																																																
10013006	步兵体力6																						BU	qi	che	10013006																																																
10013007	步兵体力7																						BU	qi	che	10013007																																																
10013008	步兵体力8																						BU	qi	che	10013008																																																
10013009	步兵体力9																						BU	qi	che	10013009																																																
10013010	步兵体力10																						BU	qi	che	10013010																																																
10013011	步兵体力11																						BU	qi	che	10013011																																																
10013012	步兵体力12																						BU	qi	che	10013012																																																
10013013	步兵体力13																						BU	qi	che	10013013																																																
10013014	步兵体力14																						BU	qi	che	10013014																																																
10013015	步兵体力15																						BU	qi	che	10013015																																																
10013016	步兵体力16																						BU	qi	che	10013016																																																
10013017	步兵体力17																						BU	qi	che	10013017																																																
10013018	步兵体力18																						BU	qi	che	10013018																																																
10013019	步兵体力19																						BU	qi	che	10013019																																																
10013020	步兵体力20																						BU	qi	che	10013020																																																
10013021	步兵体力21																						BU	qi	che	10013021																																																
10013022	步兵体力22																						BU	qi	che	10013022																																																
10013023	步兵体力23																						BU	qi	che	10013023																																																
10013024	步兵体力24																						BU	qi	che	10013024																																																
10013025	步兵体力25																						BU	qi	che	10013025																																																
																																																																										
10014001	步兵敏捷1																						BU	qi	che	10014001																																																
10014002	步兵敏捷2																						BU	qi	che	10014002																																																
10014003	步兵敏捷3																						BU	qi	che	10014003																																																
10014004	步兵敏捷4																						BU	qi	che	10014004																																																
10014005	步兵敏捷5																						BU	qi	che	10014005																																																
10014006	步兵敏捷6																						BU	qi	che	10014006																																																
10014007	步兵敏捷7																						BU	qi	che	10014007																																																
10014008	步兵敏捷8																						BU	qi	che	10014008																																																
10014009	步兵敏捷9																						BU	qi	che	10014009																																																
10014010	步兵敏捷10																						BU	qi	che	10014010																																																
10014011	步兵敏捷11																						BU	qi	che	10014011																																																
10014012	步兵敏捷12																						BU	qi	che	10014012																																																
10014013	步兵敏捷13																						BU	qi	che	10014013																																																
10014014	步兵敏捷14																						BU	qi	che	10014014																																																
10014015	步兵敏捷15																						BU	qi	che	10014015																																																
10014016	步兵敏捷16																						BU	qi	che	10014016																																																
10014017	步兵敏捷17																						BU	qi	che	10014017																																																
10014018	步兵敏捷18																						BU	qi	che	10014018																																																
10014019	步兵敏捷19																						BU	qi	che	10014019																																																
10014020	步兵敏捷20																						BU	qi	che	10014020																																																
10014021	步兵敏捷20																						BU	qi	che	10014021																																																
10014022	步兵敏捷20																						BU	qi	che	10014022																																																
10014023	步兵敏捷20																						BU	qi	che	10014023																																																
10014024	步兵敏捷20																						BU	qi	che	10014024																																																
10014025	步兵敏捷20																						BU	qi	che	10014025																																																
																																																																										
10015001	步兵免伤1																						BU	qi	che	10015001																																																
10015002	步兵免伤2																						BU	qi	che	10015002																																																
10015003	步兵免伤3																						BU	qi	che	10015003																																																
10015004	步兵免伤4																						BU	qi	che	10015004																																																
10015005	步兵免伤5																						BU	qi	che	10015005																																																
10015006	步兵免伤6																						BU	qi	che	10015006																																																
10015007	步兵免伤7																						BU	qi	che	10015007																																																
																																																																										
10021001	弓兵攻击1																						Gong	xie		10021001																																																
10021002	弓兵攻击2																						Gong	xie		10021002																																																
10021003	弓兵攻击3																						Gong	xie		10021003																																																
10021004	弓兵攻击4																						Gong	xie		10021004																																																
10021005	弓兵攻击5																						Gong	xie		10021005																																																
10021006	弓兵攻击6																						Gong	xie		10021006																																																
10021007	弓兵攻击7																						Gong	xie		10021007																																																
10021008	弓兵攻击8																						Gong	xie		10021008																																																
10021009	弓兵攻击9																						Gong	xie		10021009																																																
10021010	弓兵攻击10																						Gong	xie		10021010																																																
10021011	弓兵攻击11																						Gong	xie		10021011																																																
10021012	弓兵攻击12																						Gong	xie		10021012																																																
10021013	弓兵攻击13																						Gong	xie		10021013																																																
10021014	弓兵攻击14																						Gong	xie		10021014																																																
10021015	弓兵攻击15																						Gong	xie		10021015																																																
10021016	弓兵攻击16																						Gong	xie		10021016																																																
10021017	弓兵攻击17																						Gong	xie		10021017																																																
10021018	弓兵攻击18																						Gong	xie		10021018																																																
10021019	弓兵攻击19																						Gong	xie		10021019																																																
10021020	弓兵攻击20																						Gong	xie		10021020																																																
10021021	弓兵攻击21																						Gong	xie		10021021																																																
10021022	弓兵攻击22																						Gong	xie		10021022																																																
10021023	弓兵攻击23																						Gong	xie		10021023																																																
10021024	弓兵攻击24																						Gong	xie		10021024																																																
10021025	弓兵攻击25																						Gong	xie		10021025																																																
																																																																										
10022001	弓兵防御1																						Gong	xie		10022001																																																
10022002	弓兵防御2																						Gong	xie		10022002																																																
10022003	弓兵防御3																						Gong	xie		10022003																																																
10022004	弓兵防御4																						Gong	xie		10022004																																																
10022005	弓兵防御5																						Gong	xie		10022005																																																
10022006	弓兵防御6																						Gong	xie		10022006																																																
10022007	弓兵防御7																						Gong	xie		10022007																																																
10022008	弓兵防御8																						Gong	xie		10022008																																																
10022009	弓兵防御9																						Gong	xie		10022009																																																
10022010	弓兵防御10																						Gong	xie		10022010																																																
10022011	弓兵防御11																						Gong	xie		10022011																																																
10022012	弓兵防御12																						Gong	xie		10022012																																																
10022013	弓兵防御13																						Gong	xie		10022013																																																
10022014	弓兵防御14																						Gong	xie		10022014																																																
10022015	弓兵防御15																						Gong	xie		10022015																																																
10022016	弓兵防御16																						Gong	xie		10022016																																																
10022017	弓兵防御17																						Gong	xie		10022017																																																
10022018	弓兵防御18																						Gong	xie		10022018																																																
10022019	弓兵防御19																						Gong	xie		10022019																																																
10022020	弓兵防御20																						Gong	xie		10022020																																																
10022021	弓兵防御21																						Gong	xie		10022021																																																
10022022	弓兵防御22																						Gong	xie		10022022																																																
10022023	弓兵防御23																						Gong	xie		10022023																																																
10022024	弓兵防御24																						Gong	xie		10022024																																																
10022025	弓兵防御25																						Gong	xie		10022025																																																
																																																																										
10023001	弓兵体力1																						Gong	xie		10023001																																																
10023002	弓兵体力2																						Gong	xie		10023002																																																
10023003	弓兵体力3																						Gong	xie		10023003																																																
10023004	弓兵体力4																						Gong	xie		10023004																																																
10023005	弓兵体力5																						Gong	xie		10023005																																																
10023006	弓兵体力6																						Gong	xie		10023006																																																
10023007	弓兵体力7																						Gong	xie		10023007																																																
10023008	弓兵体力8																						Gong	xie		10023008																																																
10023009	弓兵体力9																						Gong	xie		10023009																																																
10023010	弓兵体力10																						Gong	xie		10023010																																																
10023011	弓兵体力11																						Gong	xie		10023011																																																
10023012	弓兵体力12																						Gong	xie		10023012																																																
10023013	弓兵体力13																						Gong	xie		10023013																																																
10023014	弓兵体力14																						Gong	xie		10023014																																																
10023015	弓兵体力15																						Gong	xie		10023015																																																
10023016	弓兵体力16																						Gong	xie		10023016																																																
10023017	弓兵体力17																						Gong	xie		10023017																																																
10023018	弓兵体力18																						Gong	xie		10023018																																																
10023019	弓兵体力19																						Gong	xie		10023019																																																
10023020	弓兵体力20																						Gong	xie		10023020																																																
10023021	弓兵体力21																						Gong	xie		10023021																																																
10023022	弓兵体力22																						Gong	xie		10023022																																																
10023023	弓兵体力23																						Gong	xie		10023023																																																
10023024	弓兵体力24																						Gong	xie		10023024																																																
10023025	弓兵体力25																						Gong	xie		10023025																																																
																																																																										
10024001	弓兵敏捷1																						Gong	xie		10024001																																																
10024002	弓兵敏捷2																						Gong	xie		10024002																																																
10024003	弓兵敏捷3																						Gong	xie		10024003																																																
10024004	弓兵敏捷4																						Gong	xie		10024004																																																
10024005	弓兵敏捷5																						Gong	xie		10024005																																																
10024006	弓兵敏捷6																						Gong	xie		10024006																																																
10024007	弓兵敏捷7																						Gong	xie		10024007																																																
10024008	弓兵敏捷8																						Gong	xie		10024008																																																
10024009	弓兵敏捷9																						Gong	xie		10024009																																																
10024010	弓兵敏捷10																						Gong	xie		10024010																																																
10024011	弓兵敏捷11																						Gong	xie		10024011																																																
10024012	弓兵敏捷12																						Gong	xie		10024012																																																
10024013	弓兵敏捷13																						Gong	xie		10024013																																																
10024014	弓兵敏捷14																						Gong	xie		10024014																																																
10024015	弓兵敏捷15																						Gong	xie		10024015																																																
10024016	弓兵敏捷16																						Gong	xie		10024016																																																
10024017	弓兵敏捷17																						Gong	xie		10024017																																																
10024018	弓兵敏捷18																						Gong	xie		10024018																																																
10024019	弓兵敏捷19																						Gong	xie		10024019																																																
10024020	弓兵敏捷20																						Gong	xie		10024020																																																
10024021	弓兵敏捷21																						Gong	xie		10024021																																																
10024022	弓兵敏捷22																						Gong	xie		10024022																																																
10024023	弓兵敏捷23																						Gong	xie		10024023																																																
10024024	弓兵敏捷24																						Gong	xie		10024024																																																
10024025	弓兵敏捷25																						Gong	xie		10024025																																																
																																																																										
10025001	弓兵伤害1																						Gong	xie		10025001																																																
10025002	弓兵伤害2																						Gong	xie		10025002																																																
10025003	弓兵伤害3																						Gong	xie		10025003																																																
10025004	弓兵伤害4																						Gong	xie		10025004																																																
10025005	弓兵伤害5																						Gong	xie		10025005																																																
10025006	弓兵伤害6																						Gong	xie		10025006																																																
10025007	弓兵伤害7																						Gong	xie		10025007																																																
																																																																										
10031001	骑兵攻击1																						QI			10031001																																																
10031002	骑兵攻击2																						QI			10031002																																																
10031003	骑兵攻击3																						QI			10031003																																																
10031004	骑兵攻击4																						QI			10031004																																																
10031005	骑兵攻击5																						QI			10031005																																																
10031006	骑兵攻击6																						QI			10031006																																																
10031007	骑兵攻击7																						QI			10031007																																																
10031008	骑兵攻击8																						QI			10031008																																																
10031009	骑兵攻击9																						QI			10031009																																																
10031010	骑兵攻击10																						QI			10031010																																																
10031011	骑兵攻击11																						QI			10031011																																																
10031012	骑兵攻击12																						QI			10031012																																																
10031013	骑兵攻击13																						QI			10031013																																																
10031014	骑兵攻击14																						QI			10031014																																																
10031015	骑兵攻击15																						QI			10031015																																																
10031016	骑兵攻击16																						QI			10031016																																																
10031017	骑兵攻击17																						QI			10031017																																																
10031018	骑兵攻击18																						QI			10031018																																																
10031019	骑兵攻击19																						QI			10031019																																																
10031020	骑兵攻击20																						QI			10031020																																																
10031021	骑兵攻击21																						QI			10031021																																																
10031022	骑兵攻击22																						QI			10031022																																																
10031023	骑兵攻击23																						QI			10031023																																																
10031024	骑兵攻击24																						QI			10031024																																																
10031025	骑兵攻击25																						QI			10031025																																																
																																																																										
10032001	骑兵防御1																						QI			10032001																																																
10032002	骑兵防御2																						QI			10032002																																																
10032003	骑兵防御3																						QI			10032003																																																
10032004	骑兵防御4																						QI			10032004																																																
10032005	骑兵防御5																						QI			10032005																																																
10032006	骑兵防御6																						QI			10032006																																																
10032007	骑兵防御7																						QI			10032007																																																
10032008	骑兵防御8																						QI			10032008																																																
10032009	骑兵防御9																						QI			10032009																																																
10032010	骑兵防御10																						QI			10032010																																																
10032011	骑兵防御11																						QI			10032011																																																
10032012	骑兵防御12																						QI			10032012																																																
10032013	骑兵防御13																						QI			10032013																																																
10032014	骑兵防御14																						QI			10032014																																																
10032015	骑兵防御15																						QI			10032015																																																
10032016	骑兵防御16																						QI			10032016																																																
10032017	骑兵防御17																						QI			10032017																																																
10032018	骑兵防御18																						QI			10032018																																																
10032019	骑兵防御19																						QI			10032019																																																
10032020	骑兵防御20																						QI			10032020																																																
10032021	骑兵防御21																						QI			10032021																																																
10032022	骑兵防御22																						QI			10032022																																																
10032023	骑兵防御23																						QI			10032023																																																
10032024	骑兵防御24																						QI			10032024																																																
10032025	骑兵防御25																						QI			10032025																																																
																																																																										
10033001	骑兵体力1																						QI			10033001																																																
10033002	骑兵体力2																						QI			10033002																																																
10033003	骑兵体力3																						QI			10033003																																																
10033004	骑兵体力4																						QI			10033004																																																
10033005	骑兵体力5																						QI			10033005																																																
10033006	骑兵体力6																						QI			10033006																																																
10033007	骑兵体力7																						QI			10033007																																																
10033008	骑兵体力8																						QI			10033008																																																
10033009	骑兵体力9																						QI			10033009																																																
10033010	骑兵体力10																						QI			10033010																																																
10033011	骑兵体力11																						QI			10033011																																																
10033012	骑兵体力12																						QI			10033012																																																
10033013	骑兵体力13																						QI			10033013																																																
10033014	骑兵体力14																						QI			10033014																																																
10033015	骑兵体力15																						QI			10033015																																																
10033016	骑兵体力16																						QI			10033016																																																
10033017	骑兵体力17																						QI			10033017																																																
10033018	骑兵体力18																						QI			10033018																																																
10033019	骑兵体力19																						QI			10033019																																																
10033020	骑兵体力20																						QI			10033020																																																
10033021	骑兵体力21																						QI			10033021																																																
10033022	骑兵体力22																						QI			10033022																																																
10033023	骑兵体力23																						QI			10033023																																																
10033024	骑兵体力24																						QI			10033024																																																
10033025	骑兵体力25																						QI			10033025																																																
																																																																										
10034001	骑兵敏捷1																						QI			10034001																																																
10034002	骑兵敏捷2																						QI			10034002																																																
10034003	骑兵敏捷3																						QI			10034003																																																
10034004	骑兵敏捷4																						QI			10034004																																																
10034005	骑兵敏捷5																						QI			10034005																																																
10034006	骑兵敏捷6																						QI			10034006																																																
10034007	骑兵敏捷7																						QI			10034007																																																
10034008	骑兵敏捷8																						QI			10034008																																																
10034009	骑兵敏捷9																						QI			10034009																																																
10034010	骑兵敏捷10																						QI			10034010																																																
10034011	骑兵敏捷11																						QI			10034011																																																
10034012	骑兵敏捷12																						QI			10034012																																																
10034013	骑兵敏捷13																						QI			10034013																																																
10034014	骑兵敏捷14																						QI			10034014																																																
10034015	骑兵敏捷15																						QI			10034015																																																
10034016	骑兵敏捷16																						QI			10034016																																																
10034017	骑兵敏捷17																						QI			10034017																																																
10034018	骑兵敏捷18																						QI			10034018																																																
10034019	骑兵敏捷19																						QI			10034019																																																
10034020	骑兵敏捷20																						QI			10034020																																																
10034021	骑兵敏捷21																						QI			10034021																																																
10034022	骑兵敏捷22																						QI			10034022																																																
10034023	骑兵敏捷23																						QI			10034023																																																
10034024	骑兵敏捷24																						QI			10034024																																																
