怪物君主id	名字	icon，配置 icon.txt 中的id	1男0女	等级	武将id，关联monster/captain.txt的id						城墙属性，配置属性.txt 中的id，如果没有城墙，可以不配置	城墙固定伤害，如果没有城墙，可以不配置			怪物攻城奖励，奖励给攻城目标	怪物击杀奖励，奖励给击杀者																
12404410	匈奴主力大将	junzhu14	1	35	124044101	124044102	124044103	124044104	124044105						12404410																	
12404501	匈奴万夫长先锋	junzhu14	1	35	124045011	124045012	124045013	124045014	124045015						12404501																	
12404502	匈奴万夫长先锋	junzhu14	1	35	124045021	124045022	124045023	124045024	124045025						12404502																	
12404503	匈奴万夫长先锋	junzhu11	1	35	124045031	124045032	124045033	124045034	124045035						12404503																	
12404504	匈奴万夫长先锋	junzhu12	1	35	124045041	124045042	124045043	124045044	124045045						12404504																	
12404505	匈奴万夫长先锋	junzhu12	1	35	124045051	124045052	124045053	124045054	124045055						12404505																	
12404506	匈奴万夫长先锋	junzhu14	1	35	124045061	124045062	124045063	124045064	124045065						12404506																	
12404507	匈奴万夫长副将	junzhu11	1	35	124045071	124045072	124045073	124045074	124045075						12404507																	
12404508	匈奴万夫长副将	junzhu12	1	35	124045081	124045082	124045083	124045084	124045085						12404508																	
12404509	匈奴万夫长副将	junzhu13	1	35	124045091	124045092	124045093	124045094	124045095						12404509																	
12404510	匈奴万夫长大将	junzhu13	1	35	124045101	124045102	124045103	124045104	124045105						12404510																	
12405101	匈奴右翼先锋	junzhu13	1	40	124051011	124051012	124051013	124051014	124051015						12405101																	
12405102	匈奴右翼先锋	junzhu13	1	40	124051021	124051022	124051023	124051024	124051025						12405102																	
12405103	匈奴右翼先锋	junzhu12	1	40	124051031	124051032	124051033	124051034	124051035						12405103																	
12405104	匈奴右翼先锋	junzhu12	1	40	124051041	124051042	124051043	124051044	124051045						12405104																	
12405105	匈奴右翼先锋	junzhu15	1	40	124051051	124051052	124051053	124051054	124051055						12405105																	
12405106	匈奴右翼先锋	junzhu15	1	40	124051061	124051062	124051063	124051064	124051065						12405106																	
12405107	匈奴右翼副将	junzhu13	1	40	124051071	124051072	124051073	124051074	124051075						12405107																	
12405108	匈奴右翼副将	junzhu15	1	40	124051081	124051082	124051083	124051084	124051085						12405108																	
12405109	匈奴右翼副将	junzhu11	1	40	124051091	124051092	124051093	124051094	124051095						12405109																	
12405110	匈奴右翼大将	junzhu13	1	40	124051101	124051102	124051103	124051104	124051105						12405110																	
12405201	匈奴左翼先锋	junzhu13	1	40	124052011	124052012	124052013	124052014	124052015						12405201																	
12405202	匈奴左翼先锋	junzhu13	1	40	124052021	124052022	124052023	124052024	124052025						12405202																	
12405203	匈奴左翼先锋	junzhu14	1	40	124052031	124052032	124052033	124052034	124052035						12405203																	
12405204	匈奴左翼先锋	junzhu15	1	40	124052041	124052042	124052043	124052044	124052045						12405204																	
12405205	匈奴左翼先锋	junzhu15	1	40	124052051	124052052	124052053	124052054	124052055						12405205																	
12405206	匈奴左翼先锋	junzhu13	1	40	124052061	124052062	124052063	124052064	124052065						12405206																	
12405207	匈奴左翼副将	junzhu11	1	40	124052071	124052072	124052073	124052074	124052075						12405207																	
12405208	匈奴左翼副将	junzhu12	1	40	124052081	124052082	124052083	124052084	124052085						12405208																	
12405209	匈奴左翼副将	junzhu13	1	40	124052091	124052092	124052093	124052094	124052095						12405209																	
12405210	匈奴左翼大将	junzhu11	1	40	124052101	124052102	124052103	124052104	124052105						12405210																	
12405301	匈奴精英先锋	junzhu13	1	40	124053011	124053012	124053013	124053014	124053015						12405301																	
12405302	匈奴精英先锋	junzhu13	1	40	124053021	124053022	124053023	124053024	124053025						12405302																	
12405303	匈奴精英先锋	junzhu14	1	40	124053031	124053032	124053033	124053034	124053035						12405303																	
12405304	匈奴精英先锋	junzhu13	1	40	124053041	124053042	124053043	124053044	124053045						12405304																	
12405305	匈奴精英先锋	junzhu12	1	40	124053051	124053052	124053053	124053054	124053055						12405305																	
12405306	匈奴精英先锋	junzhu12	1	40	124053061	124053062	124053063	124053064	124053065						12405306																	
12405307	匈奴精英副将	junzhu11	1	40	124053071	124053072	124053073	124053074	124053075						12405307																	
12405308	匈奴精英副将	junzhu12	1	40	124053081	124053082	124053083	124053084	124053085						12405308																	
12405309	匈奴精英副将	junzhu15	1	40	124053091	124053092	124053093	124053094	124053095						12405309																	
12405310	匈奴精英大将	junzhu11	1	40	124053101	124053102	124053103	124053104	124053105						12405310																	
12405401	匈奴主力先锋	junzhu11	1	40	124054011	124054012	124054013	124054014	124054015						12405401																	
12405402	匈奴主力先锋	junzhu11	1	40	124054021	124054022	124054023	124054024	124054025						12405402																	
12405403	匈奴主力先锋	junzhu12	1	40	124054031	124054032	124054033	124054034	124054035						12405403																	
12405404	匈奴主力先锋	junzhu14	1	40	124054041	124054042	124054043	124054044	124054045						12405404																	
12405405	匈奴主力先锋	junzhu13	1	40	124054051	124054052	124054053	124054054	124054055						12405405																	
12405406	匈奴主力先锋	junzhu14	1	40	124054061	124054062	124054063	124054064	124054065						12405406																	
12405407	匈奴主力副将	junzhu13	1	40	124054071	124054072	124054073	124054074	124054075						12405407																	
12405408	匈奴主力副将	junzhu15	1	40	124054081	124054082	124054083	124054084	124054085						12405408																	
12405409	匈奴主力副将	junzhu11	1	40	124054091	124054092	124054093	124054094	124054095						12405409																	
12405410	匈奴主力大将	junzhu12	1	40	124054101	124054102	124054103	124054104	124054105						12405410																	
12405501	匈奴骨都侯先锋	junzhu11	1	40	124055011	124055012	124055013	124055014	124055015						12405501																	
12405502	匈奴骨都侯先锋	junzhu11	1	40	124055021	124055022	124055023	124055024	124055025						12405502																	
12405503	匈奴骨都侯先锋	junzhu14	1	40	124055031	124055032	124055033	124055034	124055035						12405503																	
12405504	匈奴骨都侯先锋	junzhu12	1	40	124055041	124055042	124055043	124055044	124055045						12405504																	
12405505	匈奴骨都侯先锋	junzhu12	1	40	124055051	124055052	124055053	124055054	124055055						12405505																	
12405506	匈奴骨都侯先锋	junzhu15	1	40	124055061	124055062	124055063	124055064	124055065						12405506																	
12405507	匈奴骨都侯副将	junzhu13	1	40	124055071	124055072	124055073	124055074	124055075						12405507																	
12405508	匈奴骨都侯副将	junzhu15	1	40	124055081	124055082	124055083	124055084	124055085						12405508																	
12405509	匈奴骨都侯副将	junzhu12	1	40	124055091	124055092	124055093	124055094	124055095						12405509																	
12405510	匈奴骨都侯大将	junzhu14	1	40	124055101	124055102	124055103	124055104	124055105						12405510																	
12406101	匈奴右翼先锋	junzhu14	1	45	124061011	124061012	124061013	124061014	124061015						12406101																	
12406102	匈奴右翼先锋	junzhu14	1	45	124061021	124061022	124061023	124061024	124061025						12406102																	
12406103	匈奴右翼先锋	junzhu14	1	45	124061031	124061032	124061033	124061034	124061035						12406103																	
12406104	匈奴右翼先锋	junzhu13	1	45	124061041	124061042	124061043	124061044	124061045						12406104																	
12406105	匈奴右翼先锋	junzhu15	1	45	124061051	124061052	124061053	124061054	124061055						12406105																	
12406106	匈奴右翼先锋	junzhu13	1	45	124061061	124061062	124061063	124061064	124061065						12406106																	
12406107	匈奴右翼副将	junzhu13	1	45	124061071	124061072	124061073	124061074	124061075						12406107																	
12406108	匈奴右翼副将	junzhu15	1	45	124061081	124061082	124061083	124061084	124061085						12406108																	
12406109	匈奴右翼副将	junzhu15	1	45	124061091	124061092	124061093	124061094	124061095						12406109																	
12406110	匈奴右翼大将	junzhu13	1	45	124061101	124061102	124061103	124061104	124061105						12406110																	
12406201	匈奴左翼先锋	junzhu12	1	45	124062011	124062012	124062013	124062014	124062015						12406201																	
12406202	匈奴左翼先锋	junzhu12	1	45	124062021	124062022	124062023	124062024	124062025						12406202																	
12406203	匈奴左翼先锋	junzhu14	1	45	124062031	124062032	124062033	124062034	124062035						12406203																	
12406204	匈奴左翼先锋	junzhu13	1	45	124062041	124062042	124062043	124062044	124062045						12406204																	
12406205	匈奴左翼先锋	junzhu12	1	45	124062051	124062052	124062053	124062054	124062055						12406205																	
12406206	匈奴左翼先锋	junzhu11	1	45	124062061	124062062	124062063	124062064	124062065						12406206																	
12406207	匈奴左翼副将	junzhu13	1	45	124062071	124062072	124062073	124062074	124062075						12406207																	
12406208	匈奴左翼副将	junzhu11	1	45	124062081	124062082	124062083	124062084	124062085						12406208																	
12406209	匈奴左翼副将	junzhu13	1	45	124062091	124062092	124062093	124062094	124062095						12406209																	
12406210	匈奴左翼大将	junzhu13	1	45	124062101	124062102	124062103	124062104	124062105						12406210																	
12406301	匈奴精英先锋	junzhu13	1	45	124063011	124063012	124063013	124063014	124063015						12406301																	
12406302	匈奴精英先锋	junzhu13	1	45	124063021	124063022	124063023	124063024	124063025						12406302																	
12406303	匈奴精英先锋	junzhu13	1	45	124063031	124063032	124063033	124063034	124063035						12406303																	
12406304	匈奴精英先锋	junzhu11	1	45	124063041	124063042	124063043	124063044	124063045						12406304																	
12406305	匈奴精英先锋	junzhu14	1	45	124063051	124063052	124063053	124063054	124063055						12406305																	
12406306	匈奴精英先锋	junzhu15	1	45	124063061	124063062	124063063	124063064	124063065						12406306																	
12406307	匈奴精英副将	junzhu15	1	45	124063071	124063072	124063073	124063074	124063075						12406307																	
12406308	匈奴精英副将	junzhu11	1	45	124063081	124063082	124063083	124063084	124063085						12406308																	
12406309	匈奴精英副将	junzhu12	1	45	124063091	124063092	124063093	124063094	124063095						12406309																	
12406310	匈奴精英大将	junzhu15	1	45	124063101	124063102	124063103	124063104	124063105						12406310																	
12406401	匈奴主力先锋	junzhu15	1	45	124064011	124064012	124064013	124064014	124064015						12406401																	
12406402	匈奴主力先锋	junzhu14	1	45	124064021	124064022	124064023	124064024	124064025						12406402																	
12406403	匈奴主力先锋	junzhu13	1	45	124064031	124064032	124064033	124064034	124064035						12406403																	
12406404	匈奴主力先锋	junzhu14	1	45	124064041	124064042	124064043	124064044	124064045						12406404																	
12406405	匈奴主力先锋	junzhu15	1	45	124064051	124064052	124064053	124064054	124064055						12406405																	
12406406	匈奴主力先锋	junzhu11	1	45	124064061	124064062	124064063	124064064	124064065						12406406																	
12406407	匈奴主力副将	junzhu13	1	45	124064071	124064072	124064073	124064074	124064075						12406407																	
12406408	匈奴主力副将	junzhu11	1	45	124064081	124064082	124064083	124064084	124064085						12406408																	
12406409	匈奴主力副将	junzhu13	1	45	124064091	124064092	124064093	124064094	124064095						12406409																	
12406410	匈奴主力大将	junzhu14	1	45	124064101	124064102	124064103	124064104	124064105						12406410																	
12406501	匈奴大当户先锋	junzhu13	1	45	124065011	124065012	124065013	124065014	124065015						12406501																	
12406502	匈奴大当户先锋	junzhu12	1	45	124065021	124065022	124065023	124065024	124065025						12406502																	
12406503	匈奴大当户先锋	junzhu11	1	45	124065031	124065032	124065033	124065034	124065035						12406503																	
12406504	匈奴大当户先锋	junzhu15	1	45	124065041	124065042	124065043	124065044	124065045						12406504																	
12406505	匈奴大当户先锋	junzhu12	1	45	124065051	124065052	124065053	124065054	124065055						12406505																	
12406506	匈奴大当户先锋	junzhu15	1	45	124065061	124065062	124065063	124065064	124065065						12406506																	
12406507	匈奴大当户副将	junzhu13	1	45	124065071	124065072	124065073	124065074	124065075						12406507																	
12406508	匈奴大当户副将	junzhu12	1	45	124065081	124065082	124065083	124065084	124065085						12406508																	
12406509	匈奴大当户副将	junzhu15	1	45	124065091	124065092	124065093	124065094	124065095						12406509																	
12406510	匈奴大当户大将	junzhu11	1	45	124065101	124065102	124065103	124065104	124065105						12406510																	
12407101	匈奴右翼先锋	junzhu12	1	50	124071011	124071012	124071013	124071014	124071015						12407101																	
12407102	匈奴右翼先锋	junzhu11	1	50	124071021	124071022	124071023	124071024	124071025						12407102																	
12407103	匈奴右翼先锋	junzhu14	1	50	124071031	124071032	124071033	124071034	124071035						12407103																	
12407104	匈奴右翼先锋	junzhu14	1	50	124071041	124071042	124071043	124071044	124071045						12407104																	
12407105	匈奴右翼先锋	junzhu13	1	50	124071051	124071052	124071053	124071054	124071055						12407105																	
12407106	匈奴右翼先锋	junzhu14	1	50	124071061	124071062	124071063	124071064	124071065						12407106																	
12407107	匈奴右翼副将	junzhu11	1	50	124071071	124071072	124071073	124071074	124071075						12407107																	
12407108	匈奴右翼副将	junzhu15	1	50	124071081	124071082	124071083	124071084	124071085						12407108																	
12407109	匈奴右翼副将	junzhu14	1	50	124071091	124071092	124071093	124071094	124071095						12407109																	
12407110	匈奴右翼大将	junzhu15	1	50	124071101	124071102	124071103	124071104	124071105						12407110																	
12407201	匈奴左翼先锋	junzhu14	1	50	124072011	124072012	124072013	124072014	124072015						12407201																	
12407202	匈奴左翼先锋	junzhu11	1	50	124072021	124072022	124072023	124072024	124072025						12407202																	
12407203	匈奴左翼先锋	junzhu14	1	50	124072031	124072032	124072033	124072034	124072035						12407203																	
12407204	匈奴左翼先锋	junzhu11	1	50	124072041	124072042	124072043	124072044	124072045						12407204																	
12407205	匈奴左翼先锋	junzhu15	1	50	124072051	124072052	124072053	124072054	124072055						12407205																	
12407206	匈奴左翼先锋	junzhu11	1	50	124072061	124072062	124072063	124072064	124072065						12407206																	
12407207	匈奴左翼副将	junzhu13	1	50	124072071	124072072	124072073	124072074	124072075						12407207																	
12407208	匈奴左翼副将	junzhu15	1	50	124072081	124072082	124072083	124072084	124072085						12407208																	
12407209	匈奴左翼副将	junzhu13	1	50	124072091	124072092	124072093	124072094	124072095						12407209																	
12407210	匈奴左翼大将	junzhu12	1	50	124072101	124072102	124072103	124072104	124072105						12407210																	
12407301	匈奴精英先锋	junzhu13	1	50	124073011	124073012	124073013	124073014	124073015						12407301																	
12407302	匈奴精英先锋	junzhu11	1	50	124073021	124073022	124073023	124073024	124073025						12407302																	
12407303	匈奴精英先锋	junzhu12	1	50	124073031	124073032	124073033	124073034	124073035						12407303																	
12407304	匈奴精英先锋	junzhu13	1	50	124073041	124073042	124073043	124073044	124073045						12407304																	
12407305	匈奴精英先锋	junzhu11	1	50	124073051	124073052	124073053	124073054	124073055						12407305																	
12407306	匈奴精英先锋	junzhu14	1	50	124073061	124073062	124073063	124073064	124073065						12407306																	
12407307	匈奴精英副将	junzhu14	1	50	124073071	124073072	124073073	124073074	124073075						12407307																	
12407308	匈奴精英副将	junzhu12	1	50	124073081	124073082	124073083	124073084	124073085						12407308																	
12407309	匈奴精英副将	junzhu12	1	50	124073091	124073092	124073093	124073094	124073095						12407309																	
12407310	匈奴精英大将	junzhu15	1	50	124073101	124073102	124073103	124073104	124073105						12407310																	
12407401	匈奴主力先锋	junzhu12	1	50	124074011	124074012	124074013	124074014	124074015						12407401																	
12407402	匈奴主力先锋	junzhu13	1	50	124074021	124074022	124074023	124074024	124074025						12407402																	
12407403	匈奴主力先锋	junzhu13	1	50	124074031	124074032	124074033	124074034	124074035						12407403																	
12407404	匈奴主力先锋	junzhu14	1	50	124074041	124074042	124074043	124074044	124074045						12407404																	
12407405	匈奴主力先锋	junzhu11	1	50	124074051	124074052	124074053	124074054	124074055						12407405																	
12407406	匈奴主力先锋	junzhu11	1	50	124074061	124074062	124074063	124074064	124074065						12407406																	
12407407	匈奴主力副将	junzhu12	1	50	124074071	124074072	124074073	124074074	124074075						12407407																	
12407408	匈奴主力副将	junzhu11	1	50	124074081	124074082	124074083	124074084	124074085						12407408																	
12407409	匈奴主力副将	junzhu15	1	50	124074091	124074092	124074093	124074094	124074095						12407409																	
12407410	匈奴主力大将	junzhu14	1	50	124074101	124074102	124074103	124074104	124074105						12407410																	
12407501	匈奴谷蠡王先锋	junzhu13	1	50	124075011	124075012	124075013	124075014	124075015						12407501																	
12407502	匈奴谷蠡王先锋	junzhu13	1	50	124075021	124075022	124075023	124075024	124075025						12407502																	
12407503	匈奴谷蠡王先锋	junzhu13	1	50	124075031	124075032	124075033	124075034	124075035						12407503																	
12407504	匈奴谷蠡王先锋	junzhu12	1	50	124075041	124075042	124075043	124075044	124075045						12407504																	
12407505	匈奴谷蠡王先锋	junzhu13	1	50	124075051	124075052	124075053	124075054	124075055						12407505																	
12407506	匈奴谷蠡王先锋	junzhu15	1	50	124075061	124075062	124075063	124075064	124075065						12407506																	
12407507	匈奴谷蠡王副将	junzhu12	1	50	124075071	124075072	124075073	124075074	124075075						12407507																	
12407508	匈奴谷蠡王副将	junzhu15	1	50	124075081	124075082	124075083	124075084	124075085						12407508																	
12407509	匈奴谷蠡王副将	junzhu14	1	50	124075091	124075092	124075093	124075094	124075095						12407509																	
12407510	匈奴谷蠡王大将	junzhu13	1	50	124075101	124075102	124075103	124075104	124075105						12407510																	
12408101	匈奴右翼先锋	junzhu14	1	55	124081011	124081012	124081013	124081014	124081015						12408101																	
12408102	匈奴右翼先锋	junzhu12	1	55	124081021	124081022	124081023	124081024	124081025						12408102																	
12408103	匈奴右翼先锋	junzhu12	1	55	124081031	124081032	124081033	124081034	124081035						12408103																	
12408104	匈奴右翼先锋	junzhu11	1	55	124081041	124081042	124081043	124081044	124081045						12408104																	
12408105	匈奴右翼先锋	junzhu14	1	55	124081051	124081052	124081053	124081054	124081055						12408105																	
12408106	匈奴右翼先锋	junzhu11	1	55	124081061	124081062	124081063	124081064	124081065						12408106																	
12408107	匈奴右翼副将	junzhu11	1	55	124081071	124081072	124081073	124081074	124081075						12408107																	
12408108	匈奴右翼副将	junzhu14	1	55	124081081	124081082	124081083	124081084	124081085						12408108																	
12408109	匈奴右翼副将	junzhu14	1	55	124081091	124081092	124081093	124081094	124081095						12408109																	
12408110	匈奴右翼大将	junzhu12	1	55	124081101	124081102	124081103	124081104	124081105						12408110																	
12408201	匈奴左翼先锋	junzhu14	1	55	124082011	124082012	124082013	124082014	124082015						12408201																	
12408202	匈奴左翼先锋	junzhu13	1	55	124082021	124082022	124082023	124082024	124082025						12408202																	
12408203	匈奴左翼先锋	junzhu12	1	55	124082031	124082032	124082033	124082034	124082035						12408203																	
12408204	匈奴左翼先锋	junzhu14	1	55	124082041	124082042	124082043	124082044	124082045						12408204																	
12408205	匈奴左翼先锋	junzhu15	1	55	124082051	124082052	124082053	124082054	124082055						12408205																	
12408206	匈奴左翼先锋	junzhu12	1	55	124082061	124082062	124082063	124082064	124082065						12408206																	
12408207	匈奴左翼副将	junzhu12	1	55	124082071	124082072	124082073	124082074	124082075						12408207																	
12408208	匈奴左翼副将	junzhu11	1	55	124082081	124082082	124082083	124082084	124082085						12408208																	
12408209	匈奴左翼副将	junzhu14	1	55	124082091	124082092	124082093	124082094	124082095						12408209																	
12408210	匈奴左翼大将	junzhu11	1	55	124082101	124082102	124082103	124082104	124082105						12408210																	
12408301	匈奴精英先锋	junzhu11	1	55	124083011	124083012	124083013	124083014	124083015						12408301																	
12408302	匈奴精英先锋	junzhu11	1	55	124083021	124083022	124083023	124083024	124083025						12408302																	
12408303	匈奴精英先锋	junzhu14	1	55	124083031	124083032	124083033	124083034	124083035						12408303																	
12408304	匈奴精英先锋	junzhu11	1	55	124083041	124083042	124083043	124083044	124083045						12408304																	
12408305	匈奴精英先锋	junzhu14	1	55	124083051	124083052	124083053	124083054	124083055						12408305																	
12408306	匈奴精英先锋	junzhu13	1	55	124083061	124083062	124083063	124083064	124083065						12408306																	
12408307	匈奴精英副将	junzhu14	1	55	124083071	124083072	124083073	124083074	124083075						12408307																	
12408308	匈奴精英副将	junzhu14	1	55	124083081	124083082	124083083	124083084	124083085						12408308																	
12408309	匈奴精英副将	junzhu12	1	55	124083091	124083092	124083093	124083094	124083095						12408309																	
12408310	匈奴精英大将	junzhu12	1	55	124083101	124083102	124083103	124083104	124083105						12408310																	
12408401	匈奴主力先锋	junzhu11	1	55	124084011	124084012	124084013	124084014	124084015						12408401																	
12408402	匈奴主力先锋	junzhu13	1	55	124084021	124084022	124084023	124084024	124084025						12408402																	
12408403	匈奴主力先锋	junzhu15	1	55	124084031	124084032	124084033	124084034	124084035						12408403																	
12408404	匈奴主力先锋	junzhu13	1	55	124084041	124084042	124084043	124084044	124084045						12408404																	
12408405	匈奴主力先锋	junzhu11	1	55	124084051	124084052	124084053	124084054	124084055						12408405																	
12408406	匈奴主力先锋	junzhu13	1	55	124084061	124084062	124084063	124084064	124084065						12408406																	
12408407	匈奴主力副将	junzhu12	1	55	124084071	124084072	124084073	124084074	124084075						12408407																	
12408408	匈奴主力副将	junzhu15	1	55	124084081	124084082	124084083	124084084	124084085						12408408																	
12408409	匈奴主力副将	junzhu11	1	55	124084091	124084092	124084093	124084094	124084095						12408409																	
12408410	匈奴主力大将	junzhu13	1	55	124084101	124084102	124084103	124084104	124084105						12408410																	
12408501	匈奴右贤王先锋	junzhu15	1	55	124085011	124085012	124085013	124085014	124085015						12408501																	
12408502	匈奴右贤王先锋	junzhu15	1	55	124085021	124085022	124085023	124085024	124085025						12408502																	
12408503	匈奴右贤王先锋	junzhu11	1	55	124085031	124085032	124085033	124085034	124085035						12408503																	
12408504	匈奴右贤王先锋	junzhu12	1	55	124085041	124085042	124085043	124085044	124085045						12408504																	
12408505	匈奴右贤王先锋	junzhu13	1	55	124085051	124085052	124085053	124085054	124085055						12408505																	
12408506	匈奴右贤王先锋	junzhu11	1	55	124085061	124085062	124085063	124085064	124085065						12408506																	
12408507	匈奴右贤王副将	junzhu12	1	55	124085071	124085072	124085073	124085074	124085075						12408507																	
12408508	匈奴右贤王副将	junzhu15	1	55	124085081	124085082	124085083	124085084	124085085						12408508																	
12408509	匈奴右贤王副将	junzhu14	1	55	124085091	124085092	124085093	124085094	124085095						12408509																	
12408510	匈奴右贤王大将	junzhu14	1	55	124085101	124085102	124085103	124085104	124085105						12408510																	
12409101	匈奴右翼先锋	junzhu15	1	60	124091011	124091012	124091013	124091014	124091015						12409101																	
12409102	匈奴右翼先锋	junzhu14	1	60	124091021	124091022	124091023	124091024	124091025						12409102																	
12409103	匈奴右翼先锋	junzhu12	1	60	124091031	124091032	124091033	124091034	124091035						12409103																	
12409104	匈奴右翼先锋	junzhu11	1	60	124091041	124091042	124091043	124091044	124091045						12409104																	
12409105	匈奴右翼先锋	junzhu14	1	60	124091051	124091052	124091053	124091054	124091055						12409105																	
12409106	匈奴右翼先锋	junzhu13	1	60	124091061	124091062	124091063	124091064	124091065						12409106																	
12409107	匈奴右翼副将	junzhu12	1	60	124091071	124091072	124091073	124091074	124091075						12409107																	
12409108	匈奴右翼副将	junzhu14	1	60	124091081	124091082	124091083	124091084	124091085						12409108																	
12409109	匈奴右翼副将	junzhu15	1	60	124091091	124091092	124091093	124091094	124091095						12409109																	
12409110	匈奴右翼大将	junzhu11	1	60	124091101	124091102	124091103	124091104	124091105						12409110																	
12409201	匈奴左翼先锋	junzhu11	1	60	124092011	124092012	124092013	124092014	124092015						12409201																	
12409202	匈奴左翼先锋	junzhu12	1	60	124092021	124092022	124092023	124092024	124092025						12409202																	
12409203	匈奴左翼先锋	junzhu12	1	60	124092031	124092032	124092033	124092034	124092035						12409203																	
12409204	匈奴左翼先锋	junzhu11	1	60	124092041	124092042	124092043	124092044	124092045						12409204																	
12409205	匈奴左翼先锋	junzhu15	1	60	124092051	124092052	124092053	124092054	124092055						12409205																	
12409206	匈奴左翼先锋	junzhu13	1	60	124092061	124092062	124092063	124092064	124092065						12409206																	
12409207	匈奴左翼副将	junzhu14	1	60	124092071	124092072	124092073	124092074	124092075						12409207																	
12409208	匈奴左翼副将	junzhu13	1	60	124092081	124092082	124092083	124092084	124092085						12409208																	
12409209	匈奴左翼副将	junzhu11	1	60	124092091	124092092	124092093	124092094	124092095						12409209																	
12409210	匈奴左翼大将	junzhu11	1	60	124092101	124092102	124092103	124092104	124092105						12409210																	
12409301	匈奴精英先锋	junzhu15	1	60	124093011	124093012	124093013	124093014	124093015						12409301																	
12409302	匈奴精英先锋	junzhu15	1	60	124093021	124093022	124093023	124093024	124093025						12409302																	
12409303	匈奴精英先锋	junzhu12	1	60	124093031	124093032	124093033	124093034	124093035						12409303																	
12409304	匈奴精英先锋	junzhu13	1	60	124093041	124093042	124093043	124093044	124093045						12409304																	
12409305	匈奴精英先锋	junzhu12	1	60	124093051	124093052	124093053	124093054	124093055						12409305																	
12409306	匈奴精英先锋	junzhu13	1	60	124093061	124093062	124093063	124093064	124093065						12409306																	
12409307	匈奴精英副将	junzhu15	1	60	124093071	124093072	124093073	124093074	124093075						12409307																	
12409308	匈奴精英副将	junzhu12	1	60	124093081	124093082	124093083	124093084	124093085						12409308																	
12409309	匈奴精英副将	junzhu11	1	60	124093091	124093092	124093093	124093094	124093095						12409309																	
12409310	匈奴精英大将	junzhu13	1	60	124093101	124093102	124093103	124093104	124093105						12409310																	
12409401	匈奴主力先锋	junzhu12	1	60	124094011	124094012	124094013	124094014	124094015						12409401																	
12409402	匈奴主力先锋	junzhu15	1	60	124094021	124094022	124094023	124094024	124094025						12409402																	
12409403	匈奴主力先锋	junzhu14	1	60	124094031	124094032	124094033	124094034	124094035						12409403																	
12409404	匈奴主力先锋	junzhu12	1	60	124094041	124094042	124094043	124094044	124094045						12409404																	
12409405	匈奴主力先锋	junzhu14	1	60	124094051	124094052	124094053	124094054	124094055						12409405																	
12409406	匈奴主力先锋	junzhu13	1	60	124094061	124094062	124094063	124094064	124094065						12409406																	
12409407	匈奴主力副将	junzhu13	1	60	124094071	124094072	124094073	124094074	124094075						12409407																	
12409408	匈奴主力副将	junzhu12	1	60	124094081	124094082	124094083	124094084	124094085						12409408																	
12409409	匈奴主力副将	junzhu15	1	60	124094091	124094092	124094093	124094094	124094095						12409409																	
12409410	匈奴主力大将	junzhu11	1	60	124094101	124094102	124094103	124094104	124094105						12409410																	
12409501	匈奴左贤王先锋	junzhu14	1	60	124095011	124095012	124095013	124095014	124095015						12409501																	
12409502	匈奴左贤王先锋	junzhu12	1	60	124095021	124095022	124095023	124095024	124095025						12409502																	
12409503	匈奴左贤王先锋	junzhu13	1	60	124095031	124095032	124095033	124095034	124095035						12409503																	
12409504	匈奴左贤王先锋	junzhu15	1	60	124095041	124095042	124095043	124095044	124095045						12409504																	
12409505	匈奴左贤王先锋	junzhu14	1	60	124095051	124095052	124095053	124095054	124095055						12409505																	
12409506	匈奴左贤王先锋	junzhu12	1	60	124095061	124095062	124095063	124095064	124095065						12409506																	
12409507	匈奴左贤王副将	junzhu14	1	60	124095071	124095072	124095073	124095074	124095075						12409507																	
12409508	匈奴左贤王副将	junzhu13	1	60	124095081	124095082	124095083	124095084	124095085						12409508																	
12409509	匈奴左贤王副将	junzhu13	1	60	124095091	124095092	124095093	124095094	124095095						12409509																	
12409510	匈奴左贤王大将	junzhu15	1	60	124095101	124095102	124095103	124095104	124095105						12409510																	
12410101	匈奴右翼先锋	junzhu13	1	65	124101011	124101012	124101013	124101014	124101015						12410101																	
12410102	匈奴右翼先锋	junzhu15	1	65	124101021	124101022	124101023	124101024	124101025						12410102																	
12410103	匈奴右翼先锋	junzhu11	1	65	124101031	124101032	124101033	124101034	124101035						12410103																	
12410104	匈奴右翼先锋	junzhu12	1	65	124101041	124101042	124101043	124101044	124101045						12410104																	
12410105	匈奴右翼先锋	junzhu11	1	65	124101051	124101052	124101053	124101054	124101055						12410105																	
12410106	匈奴右翼先锋	junzhu15	1	65	124101061	124101062	124101063	124101064	124101065						12410106																	
12410107	匈奴右翼副将	junzhu11	1	65	124101071	124101072	124101073	124101074	124101075						12410107																	
12410108	匈奴右翼副将	junzhu14	1	65	124101081	124101082	124101083	124101084	124101085						12410108																	
12410109	匈奴右翼副将	junzhu12	1	65	124101091	124101092	124101093	124101094	124101095						12410109																	
12410110	匈奴右翼大将	junzhu12	1	65	124101101	124101102	124101103	124101104	124101105						12410110																	
12410201	匈奴左翼先锋	junzhu11	1	65	124102011	124102012	124102013	124102014	124102015						12410201																	
12410202	匈奴左翼先锋	junzhu12	1	65	124102021	124102022	124102023	124102024	124102025						12410202																	
12410203	匈奴左翼先锋	junzhu15	1	65	124102031	124102032	124102033	124102034	124102035						12410203																	
